main.py:108: UserWarning: You have chosen a specific GPU. This will completely disable data parallelism.
  warnings.warn('You have chosen a specific GPU. This will completely '
Use GPU: 2 for training
=> using pre-trained model 'resnet18'
[MQBENCH] INFO: Quantize model Scheme: BackendType.Tensorrt Mode: Training
[MQBENCH] INFO: Weight Qconfig:
    FakeQuantize: LearnableFakeQuantize Params: {}
    Oberver:      MinMaxObserver Params: Symmetric: True / Bitwidth: 8 / Per channel: True / Pot scale: False / Extra kwargs: {}
[MQBENCH] INFO: Activation Qconfig:
    FakeQuantize: LearnableFakeQuantize Params: {}
    Oberver:      EMAMinMaxObserver Params: Symmetric: True / Bitwidth: 8 / Per channel: False / Pot scale: False / Extra kwargs: {}
[MQBENCH] INFO: Replace module to qat module.
[MQBENCH] INFO: Insert act quant x_post_act_fake_quantizer
[MQBENCH] INFO: Insert act quant conv1_post_act_fake_quantizer
[MQBENCH] INFO: Insert act quant maxpool_post_act_fake_quantizer
[MQBENCH] INFO: Insert act quant layer1_0_conv1_post_act_fake_quantizer
[MQBENCH] INFO: Insert act quant layer1_0_conv2_post_act_fake_quantizer
[MQBENCH] INFO: Insert act quant layer1_0_relu_1_post_act_fake_quantizer
[MQBENCH] INFO: Insert act quant layer1_1_conv1_post_act_fake_quantizer
[MQBENCH] INFO: Insert act quant layer1_1_conv2_post_act_fake_quantizer
[MQBENCH] INFO: Insert act quant layer1_1_relu_1_post_act_fake_quantizer
[MQBENCH] INFO: Insert act quant layer2_0_conv1_post_act_fake_quantizer
[MQBENCH] INFO: Insert act quant layer2_0_conv2_post_act_fake_quantizer
[MQBENCH] INFO: Insert act quant layer2_0_downsample_0_post_act_fake_quantizer
[MQBENCH] INFO: Insert act quant layer2_0_relu_1_post_act_fake_quantizer
[MQBENCH] INFO: Insert act quant layer2_1_conv1_post_act_fake_quantizer
[MQBENCH] INFO: Insert act quant layer2_1_conv2_post_act_fake_quantizer
[MQBENCH] INFO: Insert act quant layer2_1_relu_1_post_act_fake_quantizer
[MQBENCH] INFO: Insert act quant layer3_0_conv1_post_act_fake_quantizer
[MQBENCH] INFO: Insert act quant layer3_0_conv2_post_act_fake_quantizer
[MQBENCH] INFO: Insert act quant layer3_0_downsample_0_post_act_fake_quantizer
[MQBENCH] INFO: Insert act quant layer3_0_relu_1_post_act_fake_quantizer
[MQBENCH] INFO: Insert act quant layer3_1_conv1_post_act_fake_quantizer
[MQBENCH] INFO: Insert act quant layer3_1_conv2_post_act_fake_quantizer
[MQBENCH] INFO: Insert act quant layer3_1_relu_1_post_act_fake_quantizer
[MQBENCH] INFO: Insert act quant layer4_0_conv1_post_act_fake_quantizer
[MQBENCH] INFO: Insert act quant layer4_0_conv2_post_act_fake_quantizer
[MQBENCH] INFO: Insert act quant layer4_0_downsample_0_post_act_fake_quantizer
[MQBENCH] INFO: Insert act quant layer4_0_relu_1_post_act_fake_quantizer
[MQBENCH] INFO: Insert act quant layer4_1_conv1_post_act_fake_quantizer
[MQBENCH] INFO: Insert act quant layer4_1_conv2_post_act_fake_quantizer
[MQBENCH] INFO: Insert act quant layer4_1_relu_1_post_act_fake_quantizer
[MQBENCH] INFO: Insert act quant flatten_1_post_act_fake_quantizer
[MQBENCH] INFO: Enable observer and Disable quantize.
Start calibration ...
Calibrate images number =  1282
Calibration ==>  1
Calibration ==>  2
Calibration ==>  3
Calibration ==>  4
Calibration ==>  5
Calibration ==>  6
Calibration ==>  7
Calibration ==>  8
Calibration ==>  9
Calibration ==>  10
Calibration ==>  11
Calibration ==>  12
Calibration ==>  13
Calibration ==>  14
Calibration ==>  15
Calibration ==>  16
Calibration ==>  17
Calibration ==>  18
Calibration ==>  19
Calibration ==>  20
Calibration ==>  21
Calibration ==>  22
Calibration ==>  23
Calibration ==>  24
Calibration ==>  25
Calibration ==>  26
Calibration ==>  27
Calibration ==>  28
Calibration ==>  29
Calibration ==>  30
Calibration ==>  31
Calibration ==>  32
Calibration ==>  33
Calibration ==>  34
Calibration ==>  35
Calibration ==>  36
Calibration ==>  37
Calibration ==>  38
Calibration ==>  39
Calibration ==>  40
Calibration ==>  41
Calibration ==>  42
Calibration ==>  43
Calibration ==>  44
Calibration ==>  45
Calibration ==>  46
Calibration ==>  47
Calibration ==>  48
Calibration ==>  49
Calibration ==>  50
Calibration ==>  51
Calibration ==>  52
Calibration ==>  53
Calibration ==>  54
Calibration ==>  55
Calibration ==>  56
Calibration ==>  57
Calibration ==>  58
Calibration ==>  59
Calibration ==>  60
Calibration ==>  61
Calibration ==>  62
Calibration ==>  63
Calibration ==>  64
Calibration ==>  65
Calibration ==>  66
Calibration ==>  67
Calibration ==>  68
Calibration ==>  69
Calibration ==>  70
Calibration ==>  71
Calibration ==>  72
Calibration ==>  73
Calibration ==>  74
Calibration ==>  75
Calibration ==>  76
Calibration ==>  77
Calibration ==>  78
Calibration ==>  79
Calibration ==>  80
Calibration ==>  81
Calibration ==>  82
Calibration ==>  83
Calibration ==>  84
Calibration ==>  85
Calibration ==>  86
Calibration ==>  87
Calibration ==>  88
Calibration ==>  89
Calibration ==>  90
Calibration ==>  91
Calibration ==>  92
Calibration ==>  93
Calibration ==>  94
Calibration ==>  95
Calibration ==>  96
Calibration ==>  97
Calibration ==>  98
Calibration ==>  99
Calibration ==>  100
Calibration ==>  101
Calibration ==>  102
Calibration ==>  103
Calibration ==>  104
Calibration ==>  105
Calibration ==>  106
Calibration ==>  107
Calibration ==>  108
Calibration ==>  109
Calibration ==>  110
Calibration ==>  111
Calibration ==>  112
Calibration ==>  113
Calibration ==>  114
Calibration ==>  115
Calibration ==>  116
Calibration ==>  117
Calibration ==>  118
Calibration ==>  119
Calibration ==>  120
Calibration ==>  121
Calibration ==>  122
Calibration ==>  123
Calibration ==>  124
Calibration ==>  125
Calibration ==>  126
Calibration ==>  127
Calibration ==>  128
Calibration ==>  129
Calibration ==>  130
End calibration.
[MQBENCH] INFO: Disable observer and Enable quantize.
Epoch: [0][    0/10009] Time  2.169 ( 2.169)    Data  1.133 ( 1.133)    Loss 3.0176e+00 (3.0176e+00)    Acc@1  38.28 ( 38.28)   Acc@5  64.06 ( 64.06)
Epoch: [0][  100/10009] Time  0.291 ( 0.316)    Data  0.014 ( 0.026)    Loss 2.3045e+00 (2.4226e+00)    Acc@1  52.34 ( 49.53)   Acc@5  74.22 ( 71.60)
